TimeSlice,LimType,Attribute,Year,Other_Indexes,CZ,Cset_Set,Cset_CN,Cset_CD,Pset_PN,Installation name,Operator name,Quantity to be allocated 2025,ETS_ID,new_operator (same as column D),original operator,operator match,original operator score,new_installation (same as column C),original installation,installation_match,original installation score,match_total,Comments,Comments LR,Unnamed: 34,Same as AC,operator to installation,operator to installation match,Same as Y,installation to operator,installation to operator match,AND,Unnamed: 33,Unnamed: 34.1,Unnamed: 35,Combo,original operator (from combo),original installation (from combo),original combo score
,,FLO_EMIS,2025,,65717,,EUAF,,,Synthomer a.s.,Synthomer a.s.,65717,,Synthomer a.s.,,0,57.0,Synthomer a.s.,,0,55.0,0,,,,,Výroba Polystyreny,False,0,,False,True,,,,Synthomer a.s. /314159/ Synthomer a.s.,CTZ,CTZ,75
,,FLO_EMIS,2025,,6961,,EUAF,,FM215,Teplárna - spalovací zařízení,"ACTHERM, spol. s r.o., odštěpný závod Chomutov",6961,215,"ACTHERM, spol. s r.o., odštěpný závod Chomutov",ACTHERM,1,100.0,Teplárna - spalovací zařízení,ACTHERM,1,,2,,,,ACTHERM,ACTHERM,True,ACTHERM,ACTHERM,True,True,,,,"ACTHERM, spol. s r.o., odštěpný závod Chomutov /314159/ Teplárna - spalovací zařízení",ACTHERM,ACTHERM,100
,,FLO_EMIS,2025,,1008,,EUAF,,IMACH331,Plynová kotelna Aero Vodochody,ATALIAN CZ s.r.o.,1008,331,ATALIAN CZ s.r.o.,AB Facility,1,62.0,Plynová kotelna Aero Vodochody,AERO Vodochody AEROSPACE,1,82.0,2,,,,AERO Vodochody AEROSPACE,Areál Zbrojovky Brno,False,AB Facility,AB Facility,True,True,,,,ATALIAN CZ s.r.o. /314159/ Plynová kotelna Aero Vodochody,POLDI s.r.o.,POLDI s.r.o.,80
,,FLO_EMIS,2025,,412395,,EUAF,,ICH160,AGROCHEMIE,"UNIPETROL RPA, s.r.o.",412395,160,"UNIPETROL RPA, s.r.o.",UNIPETROL RPA,1,100.0,AGROCHEMIE,AGROCHEMIE,1,100.0,2,,,,AGROCHEMIE,PETROCHEMIE,False,UNIPETROL RPA,UNIPETROL RPA,True,True,,,,"UNIPETROL RPA, s.r.o. /314159/ AGROCHEMIE",UNIPETROL RPA,AGROCHEMIE,100
,,FLO_EMIS,2025,,1148,,EUAF,,IMACH412,Aircraft Industries a.s.,Aircraft Industries a.s.,1148,412,Aircraft Industries a.s.,Aircraft Industries,1,100.0,Aircraft Industries a.s.,Aircraft Industries,1,100.0,2,,,,Aircraft Industries,Aircraft Industries,True,Aircraft Industries,Aircraft Industries,True,True,,,,Aircraft Industries a.s. /314159/ Aircraft Industries a.s.,Aircraft Industries,Aircraft Industries,100
,,FLO_EMIS,2025,,16981,,EUAF,,IIS97,Kotelna Břidličná,"AL INVEST Břidličná, a.s.",16981,97,"AL INVEST Břidličná, a.s.",AL INVEST Břidličná,1,100.0,Kotelna Břidličná,AL INVEST Břidličná,1,,2,,,,AL INVEST Břidličná,AL INVEST Břidličná,True,AL INVEST Břidličná,AL INVEST Břidličná,True,True,,,,"AL INVEST Břidličná, a.s. /314159/ Kotelna Břidličná",AL INVEST Břidličná,AL INVEST Břidličná,100
,,FLO_EMIS,2025,,8461,,EUAF,,IIS446,ArcelorMittal Engineering Products Ostrava s.r.o.,ArcelorMittal Engineering Products Ostrava s.r.o.,8461,446,ArcelorMittal Engineering Products Ostrava s.r.o.,ArcelorMittal Engineering Products Ostrava,1,100.0,ArcelorMittal Engineering Products Ostrava s.r.o.,ArcelorMittal Engineering Products Ostrava,1,100.0,2,,,,ArcelorMittal Engineering Products Ostrava,ArcelorMittal Engineering Products Ostrava,True,ArcelorMittal Engineering Products Ostrava,ArcelorMittal Engineering Products Ostrava,True,True,,,,ArcelorMittal Engineering Products Ostrava s.r.o. /314159/ ArcelorMittal Engineering Products Ostrava s.r.o.,ArcelorMittal Engineering Products Ostrava,ArcelorMittal Engineering Products Ostrava,100
,,FLO_EMIS,2025,,3402629,,EUAF,,IIS134,ArcelorMittal Ostrava a.s.,ArcelorMittal Ostrava a.s.,3402629,134,ArcelorMittal Ostrava a.s.,ArcelorMittal Ostrava,1,100.0,ArcelorMittal Ostrava a.s.,ArcelorMittal Ostrava,1,100.0,2,,,,ArcelorMittal Ostrava,ArcelorMittal Ostrava,True,ArcelorMittal Ostrava,ArcelorMittal Ostrava,True,True,,,,ArcelorMittal Ostrava a.s. /314159/ ArcelorMittal Ostrava a.s.,ArcelorMittal Ostrava,ArcelorMittal Ostrava,100
,,FLO_EMIS,2025,,4546,,EUAF,,IIS21,ArcelorMittal Tubular Products Karviná a.s.,ArcelorMittal Tubular Products Karviná a.s.,4546,21,ArcelorMittal Tubular Products Karviná a.s.,ArcelorMittal Tubular Products Karviná,1,100.0,ArcelorMittal Tubular Products Karviná a.s.,ArcelorMittal Tubular Products Karviná,1,100.0,2,,,,ArcelorMittal Tubular Products Karviná,ArcelorMittal Tubular Products Karviná,True,ArcelorMittal Tubular Products Karviná,ArcelorMittal Tubular Products Karviná,True,True,,,,ArcelorMittal Tubular Products Karviná a.s. /314159/ ArcelorMittal Tubular Products Karviná a.s.,ArcelorMittal Tubular Products Karviná,ArcelorMittal Tubular Products Karviná,100
,,FLO_EMIS,2025,,35821,,EUAF,,IIS435,ArcelorMittal Tubular Products Ostrava a.s.,ArcelorMittal Tubular Products Ostrava a.s.,35821,435,ArcelorMittal Tubular Products Ostrava a.s.,ArcelorMittal Tubular Products Ostrava,1,100.0,ArcelorMittal Tubular Products Ostrava a.s.,ArcelorMittal Tubular Products Ostrava,1,100.0,2,,,,ArcelorMittal Tubular Products Ostrava,ArcelorMittal Tubular Products Ostrava,True,ArcelorMittal Tubular Products Ostrava,ArcelorMittal Tubular Products Ostrava,True,True,,,,ArcelorMittal Tubular Products Ostrava a.s. /314159/ ArcelorMittal Tubular Products Ostrava a.s.,ArcelorMittal Ostrava,ArcelorMittal Ostrava,100
,,FLO_EMIS,2025,,5571,,EUAF,,IPP243,Závod Lukavice,Balsac papermill s.r.o.,5571,243,Balsac papermill s.r.o.,Balsac papermill,1,100.0,Závod Lukavice,Balsac papermill,1,,2,,,,Balsac papermill,Balsac papermill,True,Balsac papermill,Balsac papermill,True,True,,,,Balsac papermill s.r.o. /314159/ Závod Lukavice,Balsac papermill,Balsac papermill,100
