Installation ID,Installation ID (Union registry),Installation name,Operator name,Quantity to be allocated,,,,,Quantity to be allocated by installation,ETS-ID,ETS
,,,,2021,2022,2023,2024,2025,,,
CZ000000000000135,135,Teplárna - spalovací zařízení,"ACTHERM, spol. s r.o., odštěpný závod Chomutov",7757,7558,7359,7160,6961,36795,,
CZ000000000000263,263,AGC Flat Glass Czech - závod Barevka,"AGC Flat Glass Czech a.s., člen AGC Group",17549,17549,17549,17549,17549,87745,,
CZ000000000000409,409,"AGC Flat Glass Czech - závod Řetenice, výrobní linka R3","AGC Flat Glass Czech a.s., člen AGC Group",90433,90433,90433,90433,90433,452165,,
CZ000000000000262,262,"AGC Flat Glass Czech - závod Řetenice, výrobní linky R1, R2","AGC Flat Glass Czech a.s., člen AGC Group",171255,171255,171255,171255,171255,856275,,
CZ000000000000346,346,Aircraft Industries a.s.,Aircraft Industries a.s.,1148,1148,1148,1148,1148,5740,,
CZ000000000000049,49,Kotelna Břidličná,"AL INVEST Břidličná, a.s.",16981,16981,16981,16981,16981,84905,,
CZ000000000000082,82,ELEKTRÁRNA KLADNO,Alpiq Generation (CZ) s.r.o,10461,10192,9923,9655,9386,49617,,
CZ000000000000044,44,Teplárna Zlín,Alpiq Generation (CZ) s.r.o.,15278,14885,14493,14100,13708,72464,,
CZ000000000210084,210084,Výroba papíru,"Papírny APIS, s.r.o",1099,1099,1099,1099,1099,5495,NEW,
CZ000000000000423,423,ArcelorMittal Engineering Products Ostrava s.r.o.,ArcelorMittal Engineering Products Ostrava s.r.o.,8461,8461,8461,8461,8461,42305,,
CZ000000000000073,73,ArcelorMittal Ostrava a.s.,ArcelorMittal Ostrava a.s.,3402629,3402629,3402629,3402629,3402629,17013145,,
CZ000000000000004,4,ArcelorMittal Tubular Products Karviná a.s.,ArcelorMittal Tubular Products Karviná a.s.,4546,4546,4546,4546,4546,22730,,
CZ000000000000410,410,ArcelorMittal Tubular Products Ostrava a.s.,ArcelorMittal Tubular Products Ostrava a.s.,35821,35821,35821,35821,35821,179105,,
CZ000000000000192,192,Plynová kotelna Aero Vodochody,ATALIAN CZ s.r.o.,1008,1008,1008,1008,1008,5040,,
CZ000000000000157,157,Závod Lukavice,Balsac papermill s.r.o.,5571,5571,5571,5571,5571,27855,,
CZ000000000000280,280,Lenzing Biocel Paskov a.s.,Lenzing Biocel Paskov a.s.,3929,3929,3929,3929,3929,19645,,
CZ000000000203591,203591,"Válcovna kol, kovárna náprav BONATRANS GROUP a.s.",BONATRANS GROUP a.s.,27592,27592,27592,27592,27592,137960,Maybe same as  CZ-0462,462
CZ000000000201865,201865,"BorsodChem MCHZ, s.r.o.","BorsodChem MCHZ, s.r.o.",129463,129463,129463,129463,129463,647315,NEW,
CZ000000000000307,307,C-Energy Planá s.r.o.,C-Energy Planá s.r.o.,11476,11181,10886,10591,10296,54430,,
CZ000000000000333,333,CARMEUSE CZECH REPUBLIC s.r.o; Vápenka Mokrá,CARMEUSE CZECH REPUBLIC s.r.o.,65638,65638,65638,65638,65638,328190,,
CZ000000000000399,399,Carthamus a.s. Energoblok Domoradice,Carthamus a.s.,6998,6818,6638,6458,6279,33191,,
CZ000000000000075,75,Rotační pec,"Cement Hranice, akciová společnost",474188,474188,474188,474188,474188,2370940,,
CZ000000000000342,342,"Cemex Czech Republic, s.r.o., rotační pec na výpal cementářského slínku","Cemex Czech Republic, s.r.o.",440183,440183,440183,440183,440183,2200915,,
CZ000000000000108,108,"CEREPA, a.s.","CEREPA, a.s.",1262,1262,1262,1262,1262,6310,,
CZ000000000000341,341,Cihelna - tunelová pec,"Cihelna Hodonín, s.r.o",6946,6946,6946,6946,6946,34730,,
CZ000000000000358,358,"Cihelna Polom, spol. s r.o.","Cihelna Polom, spol. s r.o.",1986,1986,1986,1986,1986,9930,,
CZ000000000000265,265,"Cihelna Kinský, spol. s r. o.","Cihelna Kinský, spol. s r. o.",10886,10886,10886,10886,10886,54430,,
CZ000000000202610,202610,Constellium Extrusions Děčín s.r.o.,Constellium Extrusions Děčín s.r.o.,15911,15911,15911,15911,15911,79555,CZ-0452,452
CZ000000000000312,312,"Crystal BOHEMIA, a.s.","Crystal BOHEMIA, a.s.",5017,5017,5017,5017,5017,25085,,
CZ000000000000155,155,"Crystalex CZ, s.r.o. – závod Nový Bor","Crystalex CZ, s.r.o.",7632,7632,7632,7632,7632,38160,,
CZ000000000000284,284,Sklo Bohemia,CRYSTALITE BOHEMIA a.s.,12663,12663,12663,12663,12663,63315,,
CZ000000000201951,201951,"CS CABOT, spol. s r.o.","CS CABOT, spol. s r.o.",135867,135867,135867,135867,135867,679335,CS-0457,457
CZ000000000000053,53,"Moravskoslezské cukrovary, a.s.- odštěpný závod Opava","Moravskoslezské cukrovary, a.s.",19050,19050,19050,19050,19050,95250,,
CZ000000000000005,5,Cukrovar Vrbátky,"Cukrovar Vrbátky, a.s.",10767,10767,10767,10767,10767,53835,,
